#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:29:31.499950147Z,128.3,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:34:52.204511159Z,128.37,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:40:13.040735458Z,128.29,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:45:33.678719367Z,128.27,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:50:54.395236143Z,128.36,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T11:56:15.118141349Z,128.58,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:01:35.84517238Z,128.44,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:06:56.548890611Z,128.51,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:12:17.302256358Z,128.55,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:17:38.009010493Z,128.26,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:22:58.40621052Z,128.39,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:28:19.101129447Z,128.39,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:33:39.815247199Z,128.45,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:39:00.528551186Z,128.3,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:44:21.241576775Z,128.22,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:49:41.954308987Z,128.4,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T12:55:02.669616918Z,128.45,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T13:00:23.384815998Z,128.51,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T13:05:44.174425994Z,128.46,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T13:11:04.814714104Z,128.34,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T13:16:25.535387055Z,128.16,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
